publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p228992,earthquake,2023-03-26T17:27:11.048Z,2023-03-26T17:31:10.072Z,176.6412506,-38.09090424,1.774077937,6.16897583,MLv,,LOCSAT,confirmed,manual,iasp91,13,10,6,0.05419253185,87.32423401,0.1512386201,0.261645579
2023p228444,earthquake,2023-03-26T12:35:16.637Z,2023-03-26T13:32:43.511Z,176.633728,-38.09117508,1.34793924,3.83694458,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,5,0.06011231244,65.74169731,0.2419634733,0.2868448007
2023p228434,earthquake,2023-03-26T12:29:52.352Z,2023-03-26T12:39:57.684Z,176.6289368,-38.09850693,2.190694493,3.732327223,MLv,,LOCSAT,confirmed,manual,iasp91,30,24,22,0.06514415145,52.12535477,0.2077746914,0.203217674
2023p228380,earthquake,2023-03-26T12:01:04.835Z,2023-03-26T13:40:27.190Z,176.6598511,-38.08884811,2.571854275,4.020780563,MLv,,LOCSAT,confirmed,manual,iasp91,35,27,28,0.03937304392,40.56448746,0.2741872248,0.219246283
2023p228345,earthquake,2023-03-26T11:42:18.158Z,2023-03-26T13:34:26.273Z,176.6291046,-38.09840775,2.406525516,4.063342571,M,,LOCSAT,confirmed,manual,iasp91,26,21,25,0.06499257684,59.15897751,0.1987634397,0
2023p228195,earthquake,2023-03-26T10:22:31.500Z,2023-03-26T13:09:18.289Z,176.7492981,-38.05835342,1.46499762,4.140536308,M,,LOCSAT,confirmed,manual,iasp91,14,10,5,0.04035034776,118.8261795,0.148378019,0
2023p228187,earthquake,2023-03-26T10:18:32.924Z,2023-03-26T13:03:48.059Z,176.7276306,-38.05583572,1.64592145,3.509922981,M,,LOCSAT,confirmed,manual,iasp91,12,10,5,0.03119633719,113.9881973,0.2490328562,0
2023p228149,earthquake,2023-03-26T09:58:14.027Z,2023-03-26T12:50:53.149Z,176.6325836,-38.16549683,1.855738007,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,19,14,0.1219117343,66.22856331,0.2236159075,0
2023p227937,earthquake,2023-03-26T08:05:31.147Z,2023-03-26T08:09:24.319Z,176.6580811,-38.10552597,1.470843808,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,10,6,0.1211171672,107.187881,0.1565189722,0
2023p227876,earthquake,2023-03-26T07:32:49.315Z,2023-03-26T07:36:00.641Z,176.6649017,-38.08641815,1.609100132,3.53477478,MLv,,LOCSAT,confirmed,manual,iasp91,15,12,4,0.0351462476,77.33171368,0.1552675351,0.228161631
2023p227857,earthquake,2023-03-26T07:22:28.729Z,2023-03-26T07:32:55.331Z,176.6716614,-38.08360291,1.951403827,4.786915779,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,19,0.02969318815,80.44435859,0.2640364033,0.191791049
2023p227742,earthquake,2023-03-26T06:21:26.610Z,2023-03-26T06:33:16.951Z,176.6668091,-38.08737946,1.725162009,4.478220463,MLv,,LOCSAT,confirmed,manual,iasp91,15,12,7,0.03374251351,89.20555115,0.1947677625,0.3320907066
2023p227551,earthquake,2023-03-26T04:39:31.369Z,2023-03-26T05:29:16.560Z,176.7437897,-38.00477982,2.060094966,3.754601955,MLv,,LOCSAT,confirmed,manual,iasp91,13,11,17,0.05807490647,93.94706345,0.3056465086,0.156366546
2023p227497,earthquake,2023-03-26T04:10:55.622Z,2023-03-26T08:20:18.544Z,176.7490692,-38.02914429,1.814496873,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,5,0.07348728925,125.1187286,0.1712900795,0
2023p227468,earthquake,2023-03-26T03:55:14.690Z,2023-03-26T08:16:13.996Z,176.6781464,-38.08564758,1.645437706,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,11,7,0.1005952582,83.19058228,0.2553464443,0
2023p227288,earthquake,2023-03-26T02:19:13.542Z,2023-03-26T02:22:40.028Z,176.753891,-38.01057434,1.753068338,4.089169025,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,5,0.06760313362,92.07907486,0.3523365078,0.1865778438
2023p227057,earthquake,2023-03-26T00:16:03.330Z,2023-03-26T00:20:30.613Z,176.7513428,-38.00749588,1.830038421,4.420759678,MLv,,LOCSAT,confirmed,manual,iasp91,12,9,7,0.06461051106,161.9727173,0.1651234879,0.2540340108
2023p226970,earthquake,2023-03-25T23:30:06.262Z,2023-03-25T23:35:10.518Z,176.7487488,-38.01211548,1.838583256,4.110906124,MLv,,LOCSAT,confirmed,manual,iasp91,15,13,6,0.06449370086,115.4776382,0.1583009157,0.2612552501
2023p226930,earthquake,2023-03-25T23:08:44.360Z,2023-03-25T23:15:00.434Z,176.7479401,-38.01376724,1.977484392,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,12,0.06463178247,90.84302521,0.3245965104,0.2031071547
2023p226929,earthquake,2023-03-25T23:07:46.960Z,2023-03-25T23:11:59.878Z,176.7498627,-38.01551819,1.741542469,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,5,0.06677570194,128.4608154,0.2576790528,0.2438806198
2023p226926,earthquake,2023-03-25T23:06:17.069Z,2023-03-25T23:25:59.097Z,176.6394653,-38.11104965,1.369264334,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,4,0.1289549917,74.66592407,0.1246574139,0.2210412998
2023p226301,earthquake,2023-03-25T17:33:25.577Z,2023-03-25T17:39:23.081Z,176.7399445,-38.02561188,2.178456155,4.63361311,MLv,,LOCSAT,confirmed,manual,iasp91,15,12,14,0.06266964972,81.02727509,0.2673091078,0.1538758951
2023p226218,earthquake,2023-03-25T16:49:32.654Z,2023-03-25T17:03:07.505Z,176.7463531,-38.06519318,2.006412266,2.247222662,MLv,,LOCSAT,confirmed,manual,iasp91,24,20,15,0.04162429273,75.39080429,0.4059159373,0.2048498352
2023p226159,earthquake,2023-03-25T16:17:58.961Z,2023-03-25T16:26:03.142Z,176.7583771,-38.02626038,1.630590336,3.948501825,MLv,,LOCSAT,confirmed,manual,iasp91,19,15,6,0.06905829906,86.79393768,0.1519983059,0.1849055776
2023p225330,earthquake,2023-03-25T08:55:58.448Z,2023-03-25T09:10:07.989Z,176.7531433,-38.04306412,1.958566186,3.018258572,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,9,0.05318998173,109.2939224,0.2792231703,0.2083559807
2023p225325,earthquake,2023-03-25T08:53:09.534Z,2023-03-25T09:02:32.417Z,176.7616272,-38.03807831,2.68330054,5.151076794,M,,LOCSAT,confirmed,manual,iasp91,33,25,37,0.06135607883,65.19497681,0.2760899129,0
2023p225055,earthquake,2023-03-25T06:29:23.520Z,2023-03-25T07:58:43.403Z,176.7210693,-38.07489014,1.980793104,3.526643276,MLv,,LOCSAT,confirmed,manual,iasp91,24,18,7,0.01267155819,64.77576065,0.217653243,0.316070601
2023p224845,earthquake,2023-03-25T04:37:44.956Z,2023-03-25T05:25:24.691Z,176.6915741,-38.08932877,2.123152163,4.861301422,MLv,,LOCSAT,confirmed,manual,iasp91,32,23,18,0.01513610315,71.92565155,0.2863007238,0.2010929615
2023p223902,earthquake,2023-03-24T20:15:19.035Z,2023-03-24T21:14:27.852Z,176.6954803,-38.0905304,1.636118662,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,11,0.1067026854,119.4515686,0.2779364962,0.2643267004
2023p223560,earthquake,2023-03-24T17:12:52.720Z,2023-03-25T00:14:26.861Z,176.6663818,-38.09223557,1.62047813,2.038172245,M,,LOCSAT,confirmed,manual,iasp91,15,13,6,0.03495872021,72.08246708,0.2870662289,0
2023p223449,earthquake,2023-03-24T16:14:04.699Z,2023-03-24T16:29:38.812Z,176.7205658,-38.03027344,1.587423103,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,5,0.05389502645,62.61550903,0.5424664575,0.3271223886
2023p223337,earthquake,2023-03-24T15:14:01.972Z,2023-03-24T15:23:00.009Z,176.6862183,-38.09117126,1.529609459,4.406405449,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,7,0.01974458247,72.13634491,0.2244323087,0.1862595019
2023p223148,earthquake,2023-03-24T13:33:28.520Z,2023-03-24T13:42:21.540Z,176.6588593,-38.10729599,1.981647105,4.68896389,MLv,,LOCSAT,confirmed,manual,iasp91,26,21,18,0.04633423313,53.34184456,0.1836718119,0.2438783229
2023p223030,earthquake,2023-03-24T12:31:56.420Z,2023-03-24T12:36:43.747Z,176.6392365,-38.10863113,2.35821357,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,17,25,0.0606928505,50.89260864,0.4726719964,0.2465131985
2023p222397,earthquake,2023-03-24T06:53:19.699Z,2023-03-24T10:34:32.026Z,176.6751862,-38.09492111,2.698248769,4.406234264,MLv,,LOCSAT,confirmed,manual,iasp91,40,33,37,0.02921978384,45.04578781,0.3553109102,0.2603188337
2023p222333,earthquake,2023-03-24T06:19:29.961Z,2023-03-24T06:29:41.341Z,176.6889343,-38.10570908,1.864380222,3.814425468,MLv,,LOCSAT,confirmed,manual,iasp91,31,20,7,0.02736610174,44.92529297,0.3343497724,0.2094801714
2023p222326,earthquake,2023-03-24T06:15:23.050Z,2023-03-24T06:27:25.189Z,176.6834412,-38.10780334,1.510074766,3.739616156,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,6,0.0316847004,45.09625244,0.2872419786,0.2428595889
2023p221618,earthquake,2023-03-23T23:58:31.673Z,2023-03-24T00:13:27.814Z,176.746933,-37.99502563,2.095304353,5.129122734,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,13,0.05795838311,112.4488907,0.5146497199,0.141191853
2023p221551,earthquake,2023-03-23T23:22:31.496Z,2023-03-24T00:41:43.243Z,176.6671448,-38.10956192,2.17748398,4.591040611,MLv,,LOCSAT,confirmed,manual,iasp91,19,17,14,0.04221237078,61.2912941,0.216254304,0.2161432629
2023p220772,earthquake,2023-03-23T16:27:27.610Z,2023-03-23T16:31:57.324Z,176.6895294,-38.09098053,1.706134852,6.422953606,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,5,0.1065283567,116.7493362,0.3176977521,0.4112030916
2023p220763,earthquake,2023-03-23T16:22:47.314Z,2023-03-23T16:25:50.543Z,176.7688141,-38.01815414,1.583083027,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,0.08141689003,130.3847733,0.1932152251,0.1898552827
2023p220755,earthquake,2023-03-23T16:18:27.679Z,2023-03-23T16:22:14.429Z,176.6706085,-38.10435486,1.619354578,3.651363373,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,7,0.03693682328,54.17644751,0.3306536963,0.3086016267
2023p220741,earthquake,2023-03-23T16:11:16.973Z,2023-03-23T16:19:41.647Z,176.7608185,-38.02614594,1.537918412,4.488955498,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,5,0.07025105506,127.4194183,0.230488462,0.2238717179
2023p220733,earthquake,2023-03-23T16:06:55.568Z,2023-03-23T16:10:44.077Z,176.7646484,-38.02302551,1.679095637,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,5,0.07454513758,128.6654434,0.3839912016,0.2589632989
2023p220703,earthquake,2023-03-23T15:50:35.480Z,2023-03-23T15:54:50.861Z,176.7605438,-38.02529526,1.504479045,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,5,0.07888773829,127.5832748,0.3513961907,0.2093168504
