origintime,publicid,eventtype,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,geometry
2022-05-01 09:56:25.452000+00:00,2022p325443,earthquake,2022-05-01T14:51:15.967Z,175.9870148,-38.86751175,1.31039018,5.0,M,operator assigned,LOCSAT,preliminary,manual,iasp91,12,9,2,0.14845808,134.3247986,0.17275853,0.0,POINT (1859157.7059959476 5693684.332544983)
2022-05-01 17:41:58.195000+00:00,2022p326317,earthquake,2022-06-09T20:04:50.556Z,175.9271088,-38.86626434,2.68316669,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,38,31,49,0.12095471,24.94343567,0.62720313,0.1829618,POINT (1853963.6391256254 5693991.307813609)
2022-05-02 10:21:08.395000+00:00,2022p328192,earthquake,2022-05-02T11:27:48.337Z,175.9490051,-38.76300049,1.45870282,8.90112877,MLv,,LOCSAT,confirmed,manual,iasp91,21,18,7,0.09712826,64.8177948,0.38259443,0.25347592,POINT (1856233.8947497094 5705392.328922446)
2022-05-02 13:01:40.569000+00:00,2022p328494,earthquake,2022-05-02T13:09:11.582Z,176.0131531,-38.79901123,1.92958972,7.64771795,MLv,,LOCSAT,confirmed,manual,iasp91,32,25,16,0.12027156,63.80545044,0.22455637,0.20956525,POINT (1861676.922803406 5701213.358487476)
2022-05-02 13:08:04.469000+00:00,2022p328506,earthquake,2022-05-02T13:10:44.896Z,176.0170746,-38.80750275,1.6115675,6.18147421,M,,LOCSAT,confirmed,manual,iasp91,32,27,14,0.12725548,54.37606812,0.42546213,0.0,POINT (1861986.4214424277 5700259.552073815)
2022-05-02 14:30:58.752000+00:00,2022p328661,earthquake,2022-05-02T14:36:47.559Z,176.0285187,-38.78801346,1.25710557,4.2656951,M,,LOCSAT,confirmed,manual,iasp91,18,15,6,0.13394901,78.70170593,0.28915235,0.0,POINT (1863052.0798308807 5702389.9851707)
2022-05-03 14:30:28.193000+00:00,2022p331363,earthquake,2022-05-03T14:33:19.225Z,175.9236145,-38.80788803,1.59737015,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,24,11,0.13196193,60.90311432,0.27180942,0.0,POINT (1853867.935648272 5700480.74892404)
2022-05-04 00:19:40.837000+00:00,2022p332469,earthquake,2022-05-04T00:25:08.878Z,175.9694672,-38.8338089,1.15359868,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,4,0.22347204,229.6037445,0.25267252,0.0,POINT (1857756.6911391953 5697475.072902903)
2022-05-04 04:45:51.650000+00:00,2022p332968,earthquake,2022-05-04T04:48:48.166Z,175.9293518,-38.81752014,1.4151631,12.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,6,0.13213122,190.836482,0.34940003,0.0,POINT (1854331.9285636542 5699395.63132504)
2022-05-04 10:41:35.140000+00:00,2022p333636,earthquake,2022-05-04T10:56:18.077Z,175.9331512,-38.80687332,1.29230614,7.90759516,MLv,,LOCSAT,confirmed,manual,iasp91,15,11,6,0.13910821,86.49579811,0.42847374,0.25180835,POINT (1854699.8144996471 5700566.8271053415)
2022-05-04 20:22:05.120000+00:00,2022p334725,earthquake,2022-05-04T20:36:25.182Z,175.9321747,-38.81341553,1.4209782,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,14,6,0.1485665,121.364656,0.17020062,0.22790898,POINT (1854591.6921371354 5699843.371892271)
2022-05-05 01:03:22.413000+00:00,2022p335254,earthquake,2022-05-05T01:08:59.623Z,175.959198,-38.82583618,1.56087224,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,7,0.15965143,91.88439178,0.42937715,0.26119115,POINT (1856893.8137833385 5698388.993468155)
2022-05-05 01:17:28.182000+00:00,2022p335280,earthquake,2022-05-05T01:20:52.733Z,175.9182281,-38.82669449,2.23221611,15.13580418,M,,LOCSAT,confirmed,manual,iasp91,20,16,26,0.12077984,65.18955994,0.40507734,0.0,POINT (1853333.42298941 5698408.2156263245)
2022-05-05 01:29:16.283000+00:00,2022p335302,earthquake,2022-05-05T04:11:37.685Z,175.9295959,-38.83289337,1.91000398,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,16,18,0.12742223,82.81409216,0.5022943,0.13786375,POINT (1854298.3761026976 5697688.537382984)
2022-05-05 01:36:59.577000+00:00,2022p335316,earthquake,2022-05-05T01:41:43.566Z,175.938446,-38.81700134,1.38810569,8.60759449,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,7,0.15155603,87.06129646,0.16238587,0.20157416,POINT (1855123.506605517 5699427.846575233)
2022-05-05 03:34:12.390000+00:00,2022p335537,earthquake,2022-05-05T03:36:19.460Z,175.9385834,-38.81142426,1.70953111,3.91825295,M,,LOCSAT,confirmed,manual,iasp91,22,19,12,0.14111809,63.19715834,0.31117642,0.0,POINT (1855155.35660237 5700046.513462335)
2022-05-05 04:18:58.722000+00:00,2022p335621,earthquake,2022-05-05T04:23:30.960Z,175.9975586,-38.83821869,1.45262021,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,4,0.17484243,127.5421143,0.35125555,0.0,POINT (1860179.4934066902 5696905.87518668)
2022-05-05 04:21:22.353000+00:00,2022p335625,earthquake,2022-05-05T04:23:07.482Z,175.9467163,-38.81354141,1.85629787,4.97641659,M,,LOCSAT,confirmed,manual,iasp91,23,19,15,0.14760883,79.51298523,0.22285572,0.0,POINT (1855854.083633229 5699788.755395394)
2022-05-05 04:27:44.388000+00:00,2022p335637,earthquake,2022-05-05T04:34:25.609Z,175.9431,-38.82042313,1.31790614,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,6,0.1546496,142.2801971,0.19057219,0.0,POINT (1855515.4148543929 5699035.016227947)
2022-05-05 06:21:14.201000+00:00,2022p335850,earthquake,2022-05-05T06:23:44.820Z,175.9606934,-38.83504105,1.25317164,9.7315979,M,,LOCSAT,confirmed,manual,iasp91,16,11,5,0.15051869,122.9865417,0.30658845,0.0,POINT (1856990.5228435535 5697363.045525336)
2022-05-05 11:05:27.116000+00:00,2022p336384,earthquake,2022-05-05T11:20:22.565Z,175.9373169,-38.85509109,1.44194931,4.07715368,MLv,,LOCSAT,confirmed,manual,iasp91,13,11,5,0.18951447,86.41413879,0.75778297,0.32803098,POINT (1854889.4146666434 5695203.062544051)
2022-05-05 11:10:47.351000+00:00,2022p336394,earthquake,2022-05-05T11:22:23.602Z,175.9191284,-38.80953217,1.38191997,8.37513542,MLv,,LOCSAT,confirmed,manual,iasp91,15,13,5,0.12809251,61.17181396,0.21800165,0.31638422,POINT (1853472.4862100205 5700310.712576741)
2022-05-05 19:49:03.786000+00:00,2022p337366,earthquake,2022-05-05T20:46:09.758Z,175.9173889,-38.80607986,1.98724065,16.63393784,M,,LOCSAT,confirmed,manual,iasp91,20,17,14,0.1433873,69.50439453,0.50615159,0.0,POINT (1853333.6534028873 5700698.740624417)
2022-05-05 20:37:49.683000+00:00,2022p337458,earthquake,2022-05-05T20:45:50.554Z,175.929718,-38.81685638,1.31457401,11.24214077,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,6,0.15223438,190.9251442,0.24494621,0.18604957,POINT (1854366.0923097278 5699468.287877921)
2022-05-05 20:38:20.516000+00:00,2022p337459,earthquake,2022-05-05T20:42:33.569Z,175.9342804,-38.81060028,2.03577631,9.98147106,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,23,0.14556658,70.20385742,0.25738872,0.1414329,POINT (1854784.59742201 5700149.988763596)
2022-05-06 00:03:57.353000+00:00,2022p337845,earthquake,2022-05-06T01:50:16.945Z,175.8901978,-38.81444931,1.20104056,10.68013763,M,,LOCSAT,confirmed,manual,iasp91,15,12,7,0.10581537,85.67058182,0.36329581,0.0,POINT (1850942.663113811 5699844.819614747)
2022-05-06 01:56:37.691000+00:00,2022p338056,earthquake,2022-05-06T06:00:59.949Z,175.9126434,-38.8285675,1.27256761,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,6,0.11604539,79.10286713,0.49575166,0.24090734,POINT (1852841.8889816336 5698215.796971962)
2022-05-06 03:17:09.643000+00:00,2022p338207,earthquake,2022-05-06T03:43:30.661Z,175.9132996,-38.79586792,1.35053892,9.69330883,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,3,0.13424353,155.5804663,0.27913787,0.39048366,POINT (1853014.6362549462 5701843.584324749)
2022-05-06 03:52:48.813000+00:00,2022p338274,earthquake,2022-05-06T03:56:31.028Z,175.9179382,-38.7994957,1.76332877,9.14736557,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,9,0.13205138,62.66786194,0.44181498,0.20168503,POINT (1853404.7048502516 5701428.048624668)
2022-05-06 09:34:26.749000+00:00,2022p338916,earthquake,2022-05-06T09:37:25.139Z,175.9084167,-38.81820297,1.32418206,9.17597103,M,,LOCSAT,confirmed,manual,iasp91,12,11,7,0.11681636,78.37473297,0.2674299,0.0,POINT (1852511.550904153 5699377.943605397)
2022-05-06 10:10:51.115000+00:00,2022p338984,earthquake,2022-05-06T10:13:26.128Z,175.8975372,-38.80374146,1.40304211,6.71517754,M,,LOCSAT,confirmed,manual,iasp91,14,12,4,0.14534964,91.84872437,0.57961607,0.0,POINT (1851617.7299595857 5701013.176052188)
2022-05-06 10:21:01.050000+00:00,2022p339003,earthquake,2022-05-06T10:26:15.252Z,175.9171143,-38.80600739,1.45905289,8.99137497,M,,LOCSAT,confirmed,manual,iasp91,24,18,7,0.14336382,84.63067627,0.38831679,0.0,POINT (1853310.0607298855 5700707.546345314)
2022-05-06 10:33:27.835000+00:00,2022p339026,earthquake,2022-05-06T10:35:35.593Z,175.9275208,-38.82142258,1.216889,9.90207291,M,,LOCSAT,confirmed,manual,iasp91,14,13,7,0.15699573,84.77113342,0.18338446,0.0,POINT (1854159.0413428552 5698967.563277776)
2022-05-06 11:32:29.686000+00:00,2022p339136,earthquake,2022-05-06T11:34:47.461Z,175.9359589,-38.80974579,1.47370052,4.45898914,M,,LOCSAT,confirmed,manual,iasp91,21,19,8,0.14456138,67.57836914,0.30304564,0.0,POINT (1854933.4185162496 5700240.151878208)
2022-05-06 13:19:05.533000+00:00,2022p339337,earthquake,2022-05-06T13:20:23.917Z,175.9102783,-38.81218719,1.64810027,8.73988724,M,,LOCSAT,confirmed,manual,iasp91,21,19,9,0.12072261,63.52859497,0.15332217,0.0,POINT (1852694.4849698856 5700040.536190297)
2022-05-06 13:21:08.915000+00:00,2022p339341,earthquake,2022-05-06T13:26:40.111Z,175.910675,-38.81632233,1.20981562,9.14810467,M,,LOCSAT,confirmed,manual,iasp91,20,13,8,0.11920321,78.95539951,0.20338478,0.0,POINT (1852714.308243307 5699580.444050596)
2022-05-06 14:27:53.064000+00:00,2022p339466,earthquake,2022-05-06T14:30:33.423Z,175.9152985,-38.81227112,1.22438455,11.15919876,M,,LOCSAT,confirmed,manual,iasp91,19,13,4,0.14977728,86.15264893,0.5193206,0.0,POINT (1853130.1642369605 5700017.316246558)
2022-05-06 14:41:03.149000+00:00,2022p339491,earthquake,2022-05-06T14:42:39.803Z,175.9113159,-38.82004166,1.51937121,7.17511416,M,,LOCSAT,confirmed,manual,iasp91,13,12,5,0.15803701,88.36836243,0.17352922,0.0,POINT (1852756.8025869033 5699165.829772472)
2022-05-06 16:46:33.346000+00:00,2022p339727,earthquake,2022-05-06T16:52:07.881Z,175.8913574,-38.82236099,1.196595,13.14680099,M,,LOCSAT,confirmed,manual,iasp91,22,16,6,0.10298032,73.40477562,0.36952338,0.0,POINT (1851015.5607043158 5698963.450464073)
2022-05-07 20:32:12.738000+00:00,2022p342852,earthquake,2022-05-16T02:55:48.264Z,175.9497223,-38.85591125,1.17989986,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,5,0.11646348,135.6850128,0.27509519,0.17635814,POINT (1855963.1698643197 5695077.292416889)
2022-05-08 08:49:37.713000+00:00,2022p344237,earthquake,2022-05-08T09:01:08.828Z,176.0088196,-38.75177765,1.26365577,11.74346638,M,,LOCSAT,confirmed,manual,iasp91,18,14,6,0.07985406,52.60115623,0.48636301,0.0,POINT (1861473.0937215213 5706468.695845687)
2022-05-08 15:11:16.798000+00:00,2022p344953,earthquake,2022-05-08T15:13:43.295Z,175.9972992,-38.85622025,1.28476275,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,11,4,0.16220589,95.5282135,0.49733144,0.0,POINT (1860091.3470465434 5694908.42679206)
2022-05-08 15:14:47.086000+00:00,2022p344960,earthquake,2022-05-08T21:51:24.686Z,175.9824524,-38.82635117,1.0964003,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,9,8,4,0.16134664,121.3057022,0.12043944,0.1789305,POINT (1858911.0985679799 5698266.1314444775)
2022-05-09 12:35:20.027000+00:00,2022p347363,earthquake,2022-05-09T12:59:14.259Z,175.8413086,-38.79931259,1.03313531,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,12,2,0.08611886,152.9552002,0.46073559,0.03868414,POINT (1846749.3371744154 5701658.162555754)
2022-05-11 18:26:22.698000+00:00,2022p353427,earthquake,2022-05-11T20:17:01.689Z,175.9874573,-38.76382065,1.5689499,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,18,6,0.10049676,46.96295166,0.39699229,0.21219305,POINT (1859572.6197735416 5705192.804494546)
2022-05-11 20:05:04.034000+00:00,2022p353613,earthquake,2022-05-11T20:39:03.649Z,175.9998169,-38.81373215,1.51527641,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,3,0.15122931,106.2784042,0.4780688,0.06289496,POINT (1860464.8482087143 5699617.45460068)
2022-05-11 23:15:40.278000+00:00,2022p353970,earthquake,2022-05-11T23:18:06.127Z,175.9811249,-38.78138351,2.46058847,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,31,30,0.11673338,51.04360962,0.38405834,0.0,POINT (1858958.727806331 5703261.299965771)
2022-05-12 02:54:49.995000+00:00,2022p354382,earthquake,2022-05-12T04:06:17.627Z,175.994812,-38.7650795,1.7890776,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,5,0.10319817,73.63950539,0.36932577,0.50180806,POINT (1860207.2004912025 5705032.161809861)
2022-05-12 14:10:49.577000+00:00,2022p355650,earthquake,2022-05-12T14:20:25.904Z,175.9761658,-38.86428833,1.69214117,4.6323967,MLv,,LOCSAT,confirmed,manual,iasp91,30,24,15,0.09427775,65.64013672,0.39004041,0.17661368,POINT (1858227.9224626739 5694072.905729708)
2022-05-14 08:43:15.438000+00:00,2022p360441,earthquake,2022-05-14T08:45:08.894Z,175.9594116,-38.84745407,1.47082183,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,9,8,4,0.18123852,91.55189514,0.35878164,0.0,POINT (1856834.5663854294 5695988.809754674)
2022-05-15 04:45:25.324000+00:00,2022p362697,earthquake,2022-06-03T02:13:58.839Z,176.016571,-38.79315186,2.92992904,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,29,23,55,0.1138552,48.50236511,0.37834752,0.16613353,POINT (1861995.2840120392 5701853.95401164)
2022-05-15 10:56:36.616000+00:00,2022p363394,earthquake,2022-05-15T17:11:33.712Z,176.0391083,-38.80767059,1.58215128,4.8463769,MLv,,LOCSAT,confirmed,manual,iasp91,17,14,7,0.09272432,66.22413635,0.29105037,0.17885038,POINT (1863899.475435988 5700177.478345603)
2022-05-16 01:53:35.642000+00:00,2022p365078,earthquake,2022-05-16T02:14:53.300Z,176.0158234,-38.80240631,2.58659487,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,28,33,0.10645848,35.95491028,0.36181005,0.0,POINT (1861896.4298453722 5700828.848963268)
2022-05-17 15:48:56.500000+00:00,2022p369348,earthquake,2022-05-17T15:52:56.964Z,175.9877472,-38.84631729,2.36929534,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,21,30,0.16504441,48.26359558,0.51007983,0.20047934,POINT (1859298.2987008528 5696034.852028123)
2022-05-17 15:59:08.417000+00:00,2022p369367,earthquake,2022-06-03T03:08:54.280Z,176.0004425,-38.84949493,2.91443176,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,21,61,0.08257325,48.67285156,0.45957484,0.17964144,POINT (1860388.7078557964 5695645.977275746)
2022-05-17 17:03:14.376000+00:00,2022p369488,earthquake,2022-06-03T03:05:30.714Z,176.0104218,-38.82641602,3.5790288,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,31,93,0.09053334,37.73971558,0.43467318,0.19235677,POINT (1861339.4057670764 5698179.231061897)
2022-05-17 17:07:36.358000+00:00,2022p369496,earthquake,2022-06-03T03:02:25.560Z,176.0113983,-38.84733963,2.76202469,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,30,25,48,0.07648378,38.87240601,0.49012397,0.18725675,POINT (1861347.57223573 5695853.893660455)
2022-05-17 17:09:15.195000+00:00,2022p369499,earthquake,2022-05-17T17:15:16.192Z,175.9751587,-38.83662796,1.98286306,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,19,7,0.1709819,104.1474304,0.66572354,0.11624039,POINT (1858240.6237543896 5697146.0681538265)
